Cue,Answer,face,emotion,gender,identity,mouth,ethnicity,base,move_1,move_2,move_3,compatibility,response_no,cue_width,cue_height,
,,A_female_2_BF17_BW/BF17_AC.jpg,angry,female,2,closed,african,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,A_male_2_BM09_BW/BM09_HO.jpg,happy,male,4,open,african,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,A_female_1_BF15_BW/BF15_HC.jpg,happy,female,1,closed,african,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,C_male_1_WM05_BW/WM05_AO.jpg,angry,male,7,open,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,C_male_2_WM03_BW/WM03_AC.jpg,angry,male,8,closed,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,C_male_1_WM05_BW/WM05_AO.jpg,angry,male,7,open,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,A_female_1_BF15_BW/BF15_HO.jpg,happy,female,1,open,african,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,C_male_1_WM05_BW/WM05_AO.jpg,angry,male,7,open,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,C_male_1_WM05_BW/WM05_HC.jpg,happy,male,7,closed,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,SA_female_2_HF04_BW/HF04_HC.jpg,happy,female,6,closed,south asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,EA_male_2_AM10_BW/AM10_HC.jpg,happy,male,4,closed,east asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,C_male_2_WM03_BW/WM03_HO.jpg,happy,male,8,open,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
